2025-06-17 20:56:54,958 [    373]   WARN - #c.i.o.v.n.p.l.VfsLog - VFS Log version differs from the implementation version: log null vs implementation -43
2025-06-17 20:56:54,959 [    374]   INFO - #c.i.a.o.PathMacrosImpl - Loaded path macros: {MAVEN_REPOSITORY=/Users/mac26/.m2/repository}
2025-06-17 20:56:54,986 [    401]   INFO - #c.i.o.v.n.p.PersistentFSConnector - VFS uses strict names enumerator
2025-06-17 20:56:54,997 [    412]   INFO - #c.i.o.v.n.p.PersistentFSConnector - VFS uses regular attributes storage
2025-06-17 20:56:55,001 [    416]   INFO - #com.android.tools.idea.serverflags.ServerFlagInitializer - Enabled server flags: 
2025-06-17 20:56:55,008 [    423]   INFO - #c.i.o.v.n.p.FSRecords - using REGULAR storage for VFS records
2025-06-17 20:56:55,034 [    449]   INFO - #c.i.o.v.n.p.PersistentFSConnector - 6 ms to load free records and inverted name index
2025-06-17 20:56:55,041 [    456]   INFO - #o.j.i.BuiltInServerManager - built-in server started, port 63343
2025-06-17 20:56:55,044 [    459]   WARN - #c.i.u.n.s.ConfirmingTrustManager - Received an empty list of custom trusted root certificates from the system. Check log above for possible errors, enable debug logging in category 'org.jetbrains.nativecerts' for more information
2025-06-17 20:56:55,045 [    460]   INFO - #c.i.u.n.s.CertificateManager - Default SSL context initialized
2025-06-17 20:56:55,150 [    565]   INFO - #c.i.o.v.i.l.NativeFileWatcherImpl - Native file watcher is disabled
2025-06-17 20:56:55,159 [    574]   WARN - #c.j.p.PluginClassPathRuntimeCustomizer - There was more than one class loaded in Projector Plugin classloader - this is likely a bug!
